FIPS code,State,County Name,Total: Disability Compensation Recipients,SCD rating: 0% to 20%,SCD rating: 30% to 40%,SCD rating: 50% to 60%,SCD rating: 70% to 90%,SCD rating: 100%,Age: 17-44,Age: 45-64,Age: 65 or older,Male,Female
6091,California,Sierra,67,18,10,10,17,12,11,12,44,,
6093,California,Siskiyou,"1,006",270,119,136,265,216,187,256,563,931,75
6095,California,Solano,"13,981","2,828","1,450","1,529","3,744","4,430","3,227","4,420","6,333","12,062","1,918"
6097,California,Sonoma,"5,304","1,331",531,531,"1,456","1,455","1,222","1,272","2,810","4,784",519
6099,California,Stanislaus,"6,048","1,382",639,700,"1,852","1,475","2,002","1,478","2,568","5,516",532
6101,California,Sutter,"1,890",420,216,207,574,473,546,553,791,"1,680",210
6103,California,Tehama,"1,369",357,154,149,383,326,325,320,724,"1,250",119
6105,California,Trinity,339,99,42,29,80,89,54,74,211,315,24
6107,California,Tulare,"5,929","1,657",620,713,"1,727","1,212","1,935","1,546","2,448","5,478",450
6109,California,Tuolumne,"1,173",271,127,138,348,289,270,271,632,"1,086",87
6111,California,Ventura,"12,095","2,437","1,168","1,285","3,474","3,731","3,836","3,663","4,596","10,923","1,170"
6113,California,Yolo,"2,563",674,273,305,686,625,792,769,"1,002","2,245",318
6115,California,Yuba,"2,546",455,262,281,813,735,937,799,810,"2,158",388
8001,Colorado,Adams,"7,698","1,590",978,"1,022","2,396","1,712","3,220","2,164","2,314","6,701",997
8003,Colorado,Alamosa,282,54,27,35,88,78,73,81,128,255,27
8005,Colorado,Arapahoe,"12,060","2,471","1,612","1,679","3,490","2,808","4,436","3,772","3,852","10,209","1,850"
8007,Colorado,Archuleta,332,75,34,41,101,81,69,87,176,291,41
8009,Colorado,Baca,45,10,,,17,,,,30,,
8011,Colorado,Bent,136,38,11,13,36,38,11,37,88,,
8013,Colorado,Boulder,"3,009",725,437,411,824,612,"1,197",785,"1,027","2,612",396
8014,Colorado,Broomfield,"1,178",253,164,163,350,248,542,298,338,"1,047",130
8015,Colorado,Chaffee,401,93,59,44,105,100,82,119,200,354,47
8017,Colorado,Cheyenne,26,,,,,,,,10,,
8019,Colorado,Clear Creek,160,40,19,31,36,34,42,53,65,143,17
8021,Colorado,Conejos,135,26,14,15,39,41,15,39,81,125,10
8023,Colorado,Costilla,148,26,11,18,45,48,21,47,80,135,13
8025,Colorado,Crowley,99,19,,,29,30,16,30,53,87,12
8027,Colorado,Custer,323,79,32,35,76,101,54,110,159,287,36
8029,Colorado,Delta,979,289,125,110,242,213,161,236,582,886,93
8031,Colorado,Denver,"7,684","1,557",996,"1,096","2,251","1,784","3,430","1,966","2,288","6,552","1,131"
8033,Colorado,Dolores,56,,,,18,17,13,19,24,,
8035,Colorado,Douglas,"7,654","1,502",948,"1,074","2,225","1,905","2,867","2,930","1,857","6,685",967
8037,Colorado,Eagle,318,87,42,38,81,70,95,99,124,276,42
8039,Colorado,Elbert,932,169,111,108,304,240,326,321,285,806,126
8041,Colorado,El Paso,"52,489","7,178","5,463","6,562","16,118","17,168","20,354","20,062","12,073","43,291","9,195"
8043,Colorado,Fremont,"1,660",317,182,204,498,459,418,523,719,"1,472",188
8045,Colorado,Garfield,689,195,103,98,171,122,183,185,321,629,60
8047,Colorado,Gilpin,129,25,17,16,36,35,30,48,51,115,14
8049,Colorado,Grand,219,63,37,23,42,54,52,45,122,195,24
